TOTAL_TEXT_CHANGED=1027

factions/adepta-sororitas.js | core-leader | "领袖" | len 999 -> 2 | "某些 **角色(Character)** 单位在牌表上列有「领袖」。这些 **角"… -> "领袖"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 176 -> 4 | "在「宣告战斗阵形」步骤中，如果单位中的每个模型都有此能力，可以将其置于预备队中，"… -> "深入打击"
factions/chaos-daemons.js | core-deadly-demise-d6 | "致命破灭" | len 150 -> 6 | "部分模型具有「致命破灭 x」能力。当此类模型被摧毁时，在将其从战场移除前掷一次 "… -> "致命破灭D6"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 167 -> 4 | "在「宣告战斗阵型」步骤中，若一个单位中的每个模型都有此能力，你可将其放入后备而非"… -> "深入打击"
factions/chaos-daemons.js | core-stealth | "潜行" | len 44 -> 2 | "若此单位的所有模型都具有此能力，则每次对其进行远程攻击时，从该攻击的命中掷骰中减"… -> "潜行"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 177 -> 4 | "在「宣示战斗阵型」阶段，若一个单位中的每个模型都具有此能力，你可以将其设置在预备"… -> "深入打击"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 167 -> 4 | "在「宣告战斗阵型」步骤中，若一个单位中的每个模型都有此能力，你可将其放入后备而非"… -> "深入打击"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 177 -> 4 | "在「宣示战斗阵型」阶段，若一个单位中的每个模型都具有此能力，你可以将其设置在预备"… -> "深入打击"
factions/chaos-daemons.js | core-leader | "领袖" | len 975 -> 2 | "某些**角色(Character)**单位的资料卡上列有「领袖」。这类**角色("… -> "领袖"
factions/chaos-daemons.js | core-deadly-demise-d6 | "致命破灭" | len 156 -> 6 | "某些模型能力栏中会列有「致命毁灭 x」。当这样的模型被摧毁时，在将其从战场移除前"… -> "致命破灭D6"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 165 -> 4 | "在宣言战阵形步骤中，如果一个单位中的每个模型都具备此能力，你可以将其放入预备队而"… -> "深入打击"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 177 -> 4 | "在宣布战场阵型阶段，若此单位内的每个模型都具有此能力，你可以将其放入后备队（Re"… -> "深入打击"
factions/chaos-daemons.js | core-infiltrators | "渗透" | len 71 -> 2 | "部署期间，若此单位中的每个模型都具有此能力，则当你部署它时，它可以被部署在战场上"… -> "渗透"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 177 -> 4 | "在宣布战场阵型阶段，若此单位内的每个模型都具有此能力，你可以将其放入后备队（Re"… -> "深入打击"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 177 -> 4 | "在宣布战场阵型阶段，若此单位内的每个模型都具有此能力，你可以将其放入后备队（Re"… -> "深入打击"
factions/chaos-daemons.js | core-leader | "领袖" | len 1007 -> 2 | "某些 **角色(Character)** 单位在其资料表上列有「领导者」。这类 "… -> "领袖"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 167 -> 4 | "于宣告战阵步骤时，若此单位中的每个模型都具有此能力，你可以将其设置在后备中，而非"… -> "深入打击"
factions/chaos-daemons.js | core-leader | "领袖" | len 972 -> 2 | "部分 **角色(Character)** 单位的数据表上列有「领袖」。这类 **"… -> "领袖"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 163 -> 4 | "在宣告战阵步骤中，若此单位内的每个模型都具有此能力，则可将其放入预备队而非在战场"… -> "深入打击"
factions/chaos-daemons.js | core-deadly-demise-d3 | "致命破灭" | len 158 -> 6 | "部分模型的能力中列有「毁灭性决心 x」。当此类模型被摧毁时，在将其移出游戏前掷一"… -> "致命破灭D3"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 181 -> 4 | "在宣布战阵阶段，如果此单位中的每个模型都具有此能力，你可以将其设置在预备队中，而"… -> "深入打击"
factions/chaos-daemons.js | core-deadly-demise-d3 | "致命破灭" | len 154 -> 6 | "某些模型的能力中列有「致命毁灭 x」。当该模型被摧毁时，在将其移出场地前掷一次 "… -> "致命破灭D3"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 163 -> 4 | "在宣告战阵步骤中，若此单位内的每个模型都具有此能力，则可将其放入预备队而非在战场"… -> "深入打击"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 176 -> 4 | "在「宣告战斗阵形」步骤中，如果单位中的每个模型都有此能力，可以将其置于预备队中，"… -> "深入打击"
factions/chaos-daemons.js | core-leader | "领袖" | len 1017 -> 2 | "某些 **角色(Character)** 单位的资料表上列有「领导」。这类 **"… -> "领袖"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 167 -> 4 | "在「宣告战斗阵型」步骤中，若一个单位中的每个模型都有此能力，你可将其放入后备而非"… -> "深入打击"
factions/chaos-daemons.js | core-leader | "领袖" | len 974 -> 2 | "某些**角色(Character)**单位的数据表上列有「领袖」。这样的**角色"… -> "领袖"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 176 -> 4 | "在「宣布战阵」阶段，如果一个单位中的每个模型都具有此能力，你可以将其设定在预备队"… -> "深入打击"
factions/chaos-daemons.js | core-leader | "领袖" | len 975 -> 2 | "某些**角色(Character)**单位的资料卡上列有「领袖」。这类**角色("… -> "领袖"
factions/chaos-daemons.js | core-infiltrators | "渗透" | len 77 -> 2 | "于部署时，若单位中的每个模型都具有此能力，则当你配置该单位时，可以将其配置在战场"… -> "渗透"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 176 -> 4 | "在宣布战斗阵型步骤中，如果一个单位中的每个模型都具有此能力，你可以将其放入增援中"… -> "深入打击"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 176 -> 4 | "在宣布战斗阵型步骤中，如果一个单位中的每个模型都具有此能力，你可以将其放入增援中"… -> "深入打击"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 180 -> 4 | "在「宣告战阵」阶段，若单位中的每个模型都具有此能力，你可以将其设置在预备队中，而"… -> "深入打击"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 164 -> 4 | "在宣示战阵形步骤中，若此单位中的每个模型都具有此能力，你可改为将其置于预备中，而"… -> "深入打击"
factions/chaos-daemons.js | core-leader | "领袖" | len 999 -> 2 | "某些 **角色(Character)** 单位的资料表上列有「领袖」。这样的 *"… -> "领袖"
factions/chaos-daemons.js | core-deadly-demise-d6 | "致命破灭" | len 146 -> 6 | "某些模型的能力中列有「致命毁灭 x」。当此类模型被摧毁时，在将其移出场景前掷 1"… -> "致命破灭D6"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 180 -> 4 | "在「宣告战阵」阶段，若单位中的每个模型都具有此能力，你可以将其设置在预备队中，而"… -> "深入打击"
factions/chaos-daemons.js | core-feel-no-pain-6 | "不觉疼痛6+" | len 150 -> 6 | "某些模型在其能力中列有「不觉疼痛 X+」。每次拥有此能力的模型遭受伤害且即将失去"… -> "不觉疼痛6+"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 173 -> 4 | "在宣示战斗编队阶段，若一个单位中的每个模型都具有此能力，你可以将其设置在预备队中"… -> "深入打击"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 164 -> 4 | "在宣示战阵形步骤中，若此单位中的每个模型都具有此能力，你可改为将其置于预备中，而"… -> "深入打击"
factions/chaos-daemons.js | core-leader | "领袖" | len 940 -> 2 | "一些**角色(Character)**单位的资料卡上标有「领袖」。此类**角色("… -> "领袖"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 167 -> 4 | "在「宣告战斗阵型」步骤中，若一个单位中的每个模型都有此能力，你可将其放入后备而非"… -> "深入打击"
factions/chaos-daemons.js | core-leader | "领袖" | len 988 -> 2 | "部分**角色(Character)**单位的战术卡上标有「领袖」。此类**角色("… -> "领袖"
factions/chaos-daemons.js | core-deadly-demise-d6 | "致命破灭" | len 146 -> 6 | "某些模型的能力中列有「致命毁灭 x」。当此类模型被摧毁时，在将其移出场景前掷 1"… -> "致命破灭D6"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 171 -> 4 | "在宣告战斗阵型步骤中，如果一个单位中的每个模型都具有此能力，你可以将其设置在预备"… -> "深入打击"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 177 -> 4 | "在「宣示战斗阵型」阶段，若一个单位中的每个模型都具有此能力，你可以将其设置在预备"… -> "深入打击"
factions/chaos-daemons.js | core-leader | "领袖" | len 975 -> 2 | "某些**角色(Character)**单位的资料卡上列有「领袖」。这类**角色("… -> "领袖"
factions/chaos-daemons.js | core-deadly-demise-d6 | "致命破灭" | len 160 -> 6 | "某些模型的能力中列有「致命破灭 x」。当此类模型被摧毁时，在将其从游戏中移除前掷"… -> "致命破灭D6"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 176 -> 4 | "在「宣布战阵」阶段，如果一个单位中的每个模型都具有此能力，你可以将其设定在预备队"… -> "深入打击"
factions/chaos-daemons.js | core-deadly-demise-d6 | "致命破灭" | len 156 -> 6 | "某些模型能力栏中会列有「致命毁灭 x」。当这样的模型被摧毁时，在将其从战场移除前"… -> "致命破灭D6"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 163 -> 4 | "在宣告战阵步骤中，若此单位内的每个模型都具有此能力，则可将其放入预备队而非在战场"… -> "深入打击"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 176 -> 4 | "在「宣布战阵」阶段，如果一个单位中的每个模型都具有此能力，你可以将其设定在预备队"… -> "深入打击"
factions/chaos-daemons.js | core-infiltrators | "渗透" | len 77 -> 2 | "于部署时，若单位中的每个模型都具有此能力，则当你配置该单位时，可以将其配置在战场"… -> "渗透"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 176 -> 4 | "在「宣布战阵」阶段，如果一个单位中的每个模型都具有此能力，你可以将其设定在预备队"… -> "深入打击"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 163 -> 4 | "在宣告战阵步骤中，若此单位内的每个模型都具有此能力，则可将其放入预备队而非在战场"… -> "深入打击"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 174 -> 4 | "在「宣布战斗队形」阶段，若此单位内的每个模型都拥有此能力，你可以将其放入预备队而"… -> "深入打击"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 163 -> 4 | "在宣告战阵步骤中，若此单位内的每个模型都具有此能力，则可将其放入预备队而非在战场"… -> "深入打击"
factions/chaos-daemons.js | core-feel-no-pain-5 | "不觉疼痛5+" | len 137 -> 6 | "部份模型能力中列有「不觉疼痛 x+」。此模型每次承受伤害并即将失去一个伤口时（包"… -> "不觉疼痛5+"
factions/chaos-daemons.js | core-leader | "领袖" | len 987 -> 2 | "某些**角色(Character)**单位在资料表上列有「领袖」。此类**角色("… -> "领袖"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 177 -> 4 | "在宣布战场阵型阶段，若此单位内的每个模型都具有此能力，你可以将其放入后备队（Re"… -> "深入打击"
factions/chaos-daemons.js | core-deadly-demise-d6 | "致命破灭" | len 150 -> 6 | "部分模型具有「致命破灭 x」能力。当此类模型被摧毁时，在将其从战场移除前掷一次 "… -> "致命破灭D6"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 164 -> 4 | "在宣示战阵形步骤中，若此单位中的每个模型都具有此能力，你可改为将其置于预备中，而"… -> "深入打击"
factions/chaos-daemons.js | core-feel-no-pain-6 | "不觉疼痛6+" | len 136 -> 6 | "某些模型具有「不觉疼痛 x+」能力。此模型每次承受伤害并即将失去一个创伤时（包括"… -> "不觉疼痛6+"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 173 -> 4 | "在宣示战斗编队阶段，若一个单位中的每个模型都具有此能力，你可以将其设置在预备队中"… -> "深入打击"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 176 -> 4 | "在「宣告战斗阵形」步骤中，如果单位中的每个模型都有此能力，可以将其置于预备队中，"… -> "深入打击"
factions/chaos-daemons.js | core-deadly-demise-d6 | "致命破灭" | len 146 -> 6 | "某些模型的能力中列有「致命毁灭 x」。当此类模型被摧毁时，在将其移出场景前掷 1"… -> "致命破灭D6"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 177 -> 4 | "在「宣示战斗阵型」阶段，若一个单位中的每个模型都具有此能力，你可以将其设置在预备"… -> "深入打击"
factions/chaos-daemons.js | core-deadly-demise-d6 | "致命破灭" | len 146 -> 6 | "某些模型的能力中列有「致命毁灭 x」。当此类模型被摧毁时，在将其移出场景前掷 1"… -> "致命破灭D6"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 176 -> 4 | "在「宣告战斗阵形」步骤中，如果单位中的每个模型都有此能力，可以将其置于预备队中，"… -> "深入打击"
factions/chaos-daemons.js | core-infiltrators | "渗透" | len 71 -> 2 | "在部署时，若此单位的每个模型都具有此能力，则当你设置它时，可以将其设置在战场上距"… -> "渗透"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 176 -> 4 | "在「宣布战阵」阶段，如果一个单位中的每个模型都具有此能力，你可以将其设定在预备队"… -> "深入打击"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 167 -> 4 | "在「宣告战斗阵型」步骤中，若一个单位中的每个模型都有此能力，你可将其放入后备而非"… -> "深入打击"
factions/chaos-daemons.js | core-leader | "领袖" | len 926 -> 2 | "某些**角色(Character)**单位的数据表上标有「领袖」。这些**角色("… -> "领袖"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 164 -> 4 | "在宣示战阵形步骤中，若此单位中的每个模型都具有此能力，你可改为将其置于预备中，而"… -> "深入打击"
factions/chaos-daemons.js | core-leader | "领袖" | len 999 -> 2 | "某些 **角色(Character)** 单位在牌表上列有「领袖」。这些 **角"… -> "领袖"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 164 -> 4 | "在宣示战阵形步骤中，若此单位中的每个模型都具有此能力，你可改为将其置于预备中，而"… -> "深入打击"
factions/chaos-daemons.js | core-leader | "领袖" | len 988 -> 2 | "某些 **角色(Character)** 单位在其资料卡上列有「领袖」。这样的 "… -> "领袖"
factions/chaos-daemons.js | core-deadly-demise-d3 | "致命破灭" | len 147 -> 6 | "有些模型具有「致命破灭 x」的能力。当该模型被摧毁时，在将其移出战场前掷一次 D"… -> "致命破灭D3"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 176 -> 4 | "在宣布战斗阵型步骤中，如果一个单位中的每个模型都具有此能力，你可以将其放入增援中"… -> "深入打击"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 181 -> 4 | "在宣布战阵阶段，如果此单位中的每个模型都具有此能力，你可以将其设置在预备队中，而"… -> "深入打击"
factions/chaos-daemons.js | core-leader | "领袖" | len 1003 -> 2 | "某些 **角色(Character)** 单位的数据表上列有「领袖」(Leade"… -> "领袖"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 180 -> 4 | "在「宣告战阵」阶段，若单位中的每个模型都具有此能力，你可以将其设置在预备队中，而"… -> "深入打击"
factions/chaos-daemons.js | core-leader | "领袖" | len 989 -> 2 | "部分 **角色(Character)** 单位的资料卡上标有「领袖」。这些 **"… -> "领袖"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 164 -> 4 | "在宣示战阵形步骤中，若此单位中的每个模型都具有此能力，你可改为将其置于预备中，而"… -> "深入打击"
factions/chaos-daemons.js | core-lone-operative | "独行特工" | len 60 -> 4 | "除非为隶属单位的一部分（见部署能力章节中的领袖），此单位只有在攻击模型距离在 1"… -> "独行特工"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 181 -> 4 | "在宣布战阵阶段，如果此单位中的每个模型都具有此能力，你可以将其设置在预备队中，而"… -> "深入打击"
factions/chaos-daemons.js | core-lone-operative | "独行特工" | len 60 -> 4 | "除非为隶属单位的一部分（见部署能力章节中的领袖），此单位只有在攻击模型距离在 1"… -> "独行特工"
factions/chaos-daemons.js | core-stealth | "潜行" | len 42 -> 2 | "若此单位内每个模型都具有此能力，则每次对其进行远程攻击时，从该攻击的命中掷骰减 "… -> "潜行"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 180 -> 4 | "在「宣告战阵」阶段，若单位中的每个模型都具有此能力，你可以将其设置在预备队中，而"… -> "深入打击"
factions/chaos-daemons.js | core-lone-operative | "独行特工" | len 59 -> 4 | "除非此单位为附属单位的一部分（参见部署能力章节的领袖），否则此单位只有在攻击模型"… -> "独行特工"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 173 -> 4 | "在宣示战斗编队阶段，若一个单位中的每个模型都具有此能力，你可以将其设置在预备队中"… -> "深入打击"
factions/chaos-daemons.js | core-leader | "领袖" | len 977 -> 2 | "部分 **角色(Character)** 单位的资料表上列有「领袖」。这样的 *"… -> "领袖"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 164 -> 4 | "在宣示战阵形步骤中，若此单位中的每个模型都具有此能力，你可改为将其置于预备中，而"… -> "深入打击"
factions/chaos-daemons.js | core-leader | "领袖" | len 999 -> 2 | "某些 **角色(Character)** 单位的资料表上列有「领袖」。这样的 *"… -> "领袖"
factions/chaos-daemons.js | core-deadly-demise-d6 | "致命破灭" | len 150 -> 6 | "部分模型具有「致命破灭 x」能力。当此类模型被摧毁时，在将其从战场移除前掷一次 "… -> "致命破灭D6"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 173 -> 4 | "在宣示战斗编队阶段，若一个单位中的每个模型都具有此能力，你可以将其设置在预备队中"… -> "深入打击"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 173 -> 4 | "在宣示战斗编队阶段，若一个单位中的每个模型都具有此能力，你可以将其设置在预备队中"… -> "深入打击"
factions/chaos-daemons.js | core-deadly-demise-d6 | "致命破灭" | len 150 -> 6 | "部分模型具有「致命破灭 x」能力。当此类模型被摧毁时，在将其从战场移除前掷一次 "… -> "致命破灭D6"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 173 -> 4 | "在宣示战斗编队阶段，若一个单位中的每个模型都具有此能力，你可以将其设置在预备队中"… -> "深入打击"
factions/chaos-daemons.js | core-deadly-demise-d3 | "致命破灭" | len 150 -> 6 | "部分模型具有「致命破灭 x」能力。当此类模型被摧毁时，在将其从战场移除前掷一次 "… -> "致命破灭D3"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 173 -> 4 | "在宣示战斗编队阶段，若一个单位中的每个模型都具有此能力，你可以将其设置在预备队中"… -> "深入打击"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 173 -> 4 | "在宣示战斗编队阶段，若一个单位中的每个模型都具有此能力，你可以将其设置在预备队中"… -> "深入打击"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 173 -> 4 | "在宣示战斗编队阶段，若一个单位中的每个模型都具有此能力，你可以将其设置在预备队中"… -> "深入打击"
factions/chaos-daemons.js | core-leader | "领袖" | len 1005 -> 2 | "某些 **角色(Character)** 单位的资料表上列有「领袖」。这类 **"… -> "领袖"
factions/chaos-daemons.js | core-scouts | "斥候" | len 297 -> 2 | "某些单位的能力栏中列有「斥候x\\\"」。若单位中每个模型都具有此能力，则在第一战斗"… -> "斥候"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 173 -> 4 | "在宣示战斗编队阶段，若一个单位中的每个模型都具有此能力，你可以将其设置在预备队中"… -> "深入打击"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 173 -> 4 | "在宣示战斗编队阶段，若一个单位中的每个模型都具有此能力，你可以将其设置在预备队中"… -> "深入打击"
factions/chaos-daemons.js | core-deadly-demise-d3 | "致命破灭" | len 150 -> 6 | "部分模型具有「致命破灭 x」能力。当此类模型被摧毁时，在将其从战场移除前掷一次 "… -> "致命破灭D3"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 173 -> 4 | "在宣示战斗编队阶段，若一个单位中的每个模型都具有此能力，你可以将其设置在预备队中"… -> "深入打击"
factions/chaos-daemons.js | core-deadly-demise-d6 | "致命破灭" | len 150 -> 6 | "部分模型具有「致命破灭 x」能力。当此类模型被摧毁时，在将其从战场移除前掷一次 "… -> "致命破灭D6"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 173 -> 4 | "在宣示战斗编队阶段，若一个单位中的每个模型都具有此能力，你可以将其设置在预备队中"… -> "深入打击"
factions/chaos-daemons.js | core-deadly-demise-d6 | "致命破灭" | len 150 -> 6 | "部分模型具有「致命破灭 x」能力。当此类模型被摧毁时，在将其从战场移除前掷一次 "… -> "致命破灭D6"
factions/chaos-daemons.js | core-deep-strike | "深入打击" | len 173 -> 4 | "在宣示战斗编队阶段，若一个单位中的每个模型都具有此能力，你可以将其设置在预备队中"… -> "深入打击"
factions/chaos-knights.js | core-deadly-demise-d6 | "致命破灭" | len 150 -> 6 | "部分模型具有「致命破灭 x」能力。当此类模型被摧毁时，在将其从战场移除前掷一次 "… -> "致命破灭D6"
factions/chaos-knights.js | core-deadly-demise-2d6 | "致命破灭" | len 156 -> 7 | "部分模型的能力中列有「致命毁灭 x」。当该模型被摧毁时，在将其移出战场前掷一个 "… -> "致命破灭2D6"
factions/chaos-knights.js | core-deadly-demise-d6 | "致命破灭" | len 146 -> 6 | "某些模型的能力中列有「致命毁灭 x」。当此类模型被摧毁时，在将其移出场景前掷 1"… -> "致命破灭D6"
factions/chaos-knights.js | core-deadly-demise-2d6 | "致命破灭" | len 156 -> 7 | "部分模型的能力中列有「致命毁灭 x」。当该模型被摧毁时，在将其移出战场前掷一个 "… -> "致命破灭2D6"
factions/chaos-knights.js | core-deadly-demise-d6-2 | "致命破灭" | len 161 -> 8 | "部分模型的能力中列有「致命破灭 x」。当此类模型被摧毁时，在将其移出游戏前掷一次"… -> "致命破灭D6+2"
factions/chaos-knights.js | core-deadly-demise-d6 | "致命破灭" | len 150 -> 6 | "部分模型具有「致命破灭 x」能力。当此类模型被摧毁时，在将其从战场移除前掷一次 "… -> "致命破灭D6"
factions/chaos-knights.js | core-deadly-demise-d6 | "致命破灭" | len 156 -> 6 | "某些模型能力栏中会列有「致命毁灭 x」。当这样的模型被摧毁时，在将其从战场移除前"… -> "致命破灭D6"
factions/chaos-knights.js | core-deadly-demise-d6-2 | "致命破灭" | len 161 -> 8 | "部分模型的能力中列有「致命破灭 x」。当此类模型被摧毁时，在将其移出游戏前掷一次"… -> "致命破灭D6+2"
factions/chaos-knights.js | core-deadly-demise-d6 | "致命破灭" | len 150 -> 6 | "部分模型具有「致命破灭 x」能力。当此类模型被摧毁时，在将其从战场移除前掷一次 "… -> "致命破灭D6"
factions/chaos-knights.js | core-deadly-demise-d6-2 | "致命破灭" | len 161 -> 8 | "部分模型的能力中列有「致命破灭 x」。当此类模型被摧毁时，在将其移出游戏前掷一次"… -> "致命破灭D6+2"
factions/chaos-knights.js | core-deadly-demise-d6-2 | "致命破灭" | len 161 -> 8 | "部分模型的能力中列有「致命破灭 x」。当此类模型被摧毁时，在将其移出游戏前掷一次"… -> "致命破灭D6+2"
factions/chaos-knights.js | core-deadly-demise-d6-2 | "致命破灭" | len 161 -> 8 | "部分模型的能力中列有「致命破灭 x」。当此类模型被摧毁时，在将其移出游戏前掷一次"… -> "致命破灭D6+2"
factions/chaos-knights.js | core-deadly-demise-d6 | "致命破灭" | len 160 -> 6 | "某些模型的能力中列有「致命破灭 x」。当此类模型被摧毁时，在将其从游戏中移除前掷"… -> "致命破灭D6"
factions/chaos-knights.js | core-deadly-demise-d3 | "致命破灭" | len 158 -> 6 | "部分模型的能力中列有「毁灭性决心 x」。当此类模型被摧毁时，在将其移出游戏前掷一"… -> "致命破灭D3"
factions/chaos-knights.js | core-deadly-demise-d6 | "致命破灭" | len 160 -> 6 | "某些模型的能力中列有「致命破灭 x」。当此类模型被摧毁时，在将其从游戏中移除前掷"… -> "致命破灭D6"
factions/chaos-knights.js | core-deadly-demise-d3 | "致命破灭" | len 161 -> 6 | "某些模型在其能力中列有「致命破灭 x」。当这样的模型被摧毁时，在将其移出游戏前掷"… -> "致命破灭D3"
factions/chaos-knights.js | core-deadly-demise-d3 | "致命破灭" | len 147 -> 6 | "某些模型的能力中列有「致命破灭 x」。当此类模型被摧毁时，在将其从场地移除前掷一"… -> "致命破灭D3"
factions/chaos-knights.js | core-deadly-demise-d3 | "致命破灭" | len 150 -> 6 | "某些模型的能力上列有「致命破灭 x」。当此类模型被摧毁时，在将其移出游戏前掷一个"… -> "致命破灭D3"
factions/chaos-knights.js | core-deadly-demise-d3 | "致命破灭" | len 147 -> 6 | "有些模型具有「致命破灭 x」的能力。当该模型被摧毁时，在将其移出战场前掷一次 D"… -> "致命破灭D3"
factions/chaos-knights.js | core-deadly-demise-d3 | "致命破灭" | len 147 -> 6 | "某些模型的能力中列有「致命破灭 x」。当此类模型被摧毁时，在将其从场地移除前掷一"… -> "致命破灭D3"
factions/chaos-space-marines.js | core-deep-strike | "深入打击" | len 173 -> 4 | "在宣示战斗编队阶段，若一个单位中的每个模型都具有此能力，你可以将其设置在预备队中"… -> "深入打击"
factions/chaos-space-marines.js | core-leader | "领袖" | len 1005 -> 2 | "部分 **角色(Character)** 单位的资料表上列有「领袖」。这些 **"… -> "领袖"
factions/chaos-space-marines.js | core-feel-no-pain-6 | "不觉疼痛6+" | len 150 -> 6 | "某些模型在其能力中列有「不觉疼痛 X+」。每次拥有此能力的模型遭受伤害且即将失去"… -> "不觉疼痛6+"
factions/chaos-space-marines.js | core-deadly-demise-d6 | "致命破灭" | len 150 -> 6 | "部分模型具有「致命破灭 x」能力。当此类模型被摧毁时，在将其从战场移除前掷一次 "… -> "致命破灭D6"
factions/chaos-space-marines.js | core-leader | "领袖" | len 1012 -> 2 | "部分 **角色(Character)** 单位的资料表上列有「领袖」。这些 **"… -> "领袖"
factions/chaos-space-marines.js | core-deep-strike | "深入打击" | len 176 -> 4 | "在「宣布战阵」阶段，如果一个单位中的每个模型都具有此能力，你可以将其设定在预备队"… -> "深入打击"
factions/chaos-space-marines.js | core-leader | "领袖" | len 932 -> 2 | "部分**角色(Character)**单位的数据表上列有「领袖」(Leader)"… -> "领袖"
factions/chaos-space-marines.js | core-deep-strike | "深入打击" | len 165 -> 4 | "在宣言战阵形步骤中，如果一个单位中的每个模型都具备此能力，你可以将其放入预备队而"… -> "深入打击"
factions/chaos-space-marines.js | core-leader | "领袖" | len 997 -> 2 | "某些 **角色(Character)** 单位的数据卡上列有「领袖」。这类 **"… -> "领袖"
factions/chaos-space-marines.js | core-deadly-demise-d3 | "致命破灭" | len 154 -> 6 | "某些模型的能力中列有「致命毁灭 x」。当该模型被摧毁时，在将其移出场地前掷一次 "… -> "致命破灭D3"
factions/chaos-space-marines.js | core-deadly-demise-d3 | "致命破灭" | len 161 -> 6 | "某些模型在其能力中列有「致命破灭 x」。当这样的模型被摧毁时，在将其移出游戏前掷"… -> "致命破灭D3"
factions/chaos-space-marines.js | core-deadly-demise-d3 | "致命破灭" | len 147 -> 6 | "有些模型具有「致命破灭 x」的能力。当该模型被摧毁时，在将其移出战场前掷一次 D"… -> "致命破灭D3"
factions/chaos-space-marines.js | core-feel-no-pain-5 | "不觉疼痛5+" | len 136 -> 6 | "某些模型的能力栏中列有「不觉疼痛x+」。每次具此能力的模型受到伤害并将失去一个伤"… -> "不觉疼痛5+"
factions/chaos-space-marines.js | core-deep-strike | "深入打击" | len 167 -> 4 | "于宣告战阵步骤时，若此单位中的每个模型都具有此能力，你可以将其设置在后备中，而非"… -> "深入打击"
factions/chaos-space-marines.js | core-deadly-demise-d3 | "致命破灭  D3" | len 151 -> 6 | "某些模型在其能力中列有「致命破灭x」。当此类模型被摧毁时，在将其从游戏中移除前掷"… -> "致命破灭D3"
